return_id,order_id,return_date,return_reason,return_year,return_month,return_month_name,return_quarter
R0000,O02237,2024-03-05,Defective,2024,3,March,1
R0001,O01700,2025-03-18,Defective,2025,3,March,1
R0002,O01451,2025-02-18,Late Delivery,2025,2,February,1
R0003,O02759,2023-10-26,Defective,2023,10,October,4
R0004,O00415,2024-08-06,No Longer Needed,2024,8,August,3
R0005,O02110,2024-06-01,Late Delivery,2024,6,June,2
R0006,O02845,2024-11-11,No Longer Needed,2024,11,November,4
R0007,O00362,2025-03-01,Defective,2025,3,March,1
R0008,O01002,2025-03-28,Defective,2025,3,March,1
R0009,O02036,2025-01-13,Late Delivery,2025,1,January,1
R0010,O01941,2024-04-15,Late Delivery,2024,4,April,2
R0011,O01554,2023-12-08,Defective,2023,12,December,4
R0012,O01931,2023-09-10,Late Delivery,2023,9,September,3
R0013,O00016,2025-04-10,Defective,2025,4,April,2
R0014,O01121,2023-12-07,No Longer Needed,2023,12,December,4
R0015,O01974,2024-12-20,Defective,2024,12,December,4
R0016,O02277,2023-05-13,Late Delivery,2023,5,May,2
R0017,O01583,2024-02-08,Wrong Item,2024,2,February,1
R0018,O02350,2024-07-01,Late Delivery,2024,7,July,3
R0019,O00482,2023-12-22,Late Delivery,2023,12,December,4
R0020,O00501,2024-02-22,Wrong Item,2024,2,February,1
R0021,O01631,2023-05-25,Late Delivery,2023,5,May,2
R0022,O02425,2023-05-08,Wrong Item,2023,5,May,2
R0023,O01810,2023-09-09,No Longer Needed,2023,9,September,3
R0024,O00753,2024-07-25,Wrong Item,2024,7,July,3
R0025,O02631,2023-06-17,Wrong Item,2023,6,June,2
R0026,O00590,2023-12-15,Late Delivery,2023,12,December,4
R0027,O01591,2023-09-09,Wrong Item,2023,9,September,3
R0028,O01410,2024-02-18,No Longer Needed,2024,2,February,1
R0029,O00840,2024-02-18,Late Delivery,2024,2,February,1
R0030,O02448,2024-01-21,Defective,2024,1,January,1
R0031,O01884,2024-01-11,Late Delivery,2024,1,January,1
R0032,O02396,2023-08-24,Wrong Item,2023,8,August,3
R0033,O00046,2024-05-02,Late Delivery,2024,5,May,2
R0034,O01619,2023-05-01,Wrong Item,2023,5,May,2
R0035,O02071,2023-08-10,Defective,2023,8,August,3
R0036,O02735,2023-10-03,Defective,2023,10,October,4
R0037,O00743,2023-05-22,No Longer Needed,2023,5,May,2
R0038,O02877,2025-01-07,No Longer Needed,2025,1,January,1
R0039,O02943,2024-05-31,Wrong Item,2024,5,May,2
R0040,O02323,2023-05-29,No Longer Needed,2023,5,May,2
R0041,O00362,2023-08-23,No Longer Needed,2023,8,August,3
R0042,O01849,2025-04-07,Defective,2025,4,April,2
R0043,O01686,2024-09-19,Late Delivery,2024,9,September,3
R0044,O00894,2024-11-28,Wrong Item,2024,11,November,4
R0045,O00903,2025-01-13,Defective,2025,1,January,1
R0046,O00134,2024-02-28,Defective,2024,2,February,1
R0047,O01595,2024-08-10,Defective,2024,8,August,3
R0048,O00695,2024-05-17,Wrong Item,2024,5,May,2
R0049,O02339,2023-12-16,Defective,2023,12,December,4
R0050,O00465,2024-11-20,No Longer Needed,2024,11,November,4
R0051,O02942,2023-10-16,Late Delivery,2023,10,October,4
